strong_id,features,true_weights,true_bias,matched,best_combo,reconstructed_weights,reconstructed_bias,total_error
1,"(0,)",[2.5561],0.2667,False,"(0, 0, 0, 2, 2, 2)","[0.5, 0.0, 0.0, 0.5]",0.2417,0.52505
2,"(1,)",[-2.5651],0.1065,False,"(2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 10)","[0.2, 0.0, 0.1333, 0.6667]",0.1061,1.000382
3,"(2,)",[3.2294],0.2986,False,"(1, 1, 1, 2, 2)","[0.0, 0.0, 0.6, 0.4]",0.3107,0.41208
4,"(3,)",[3.2563],0.2613,True,"(2, 2, 2, 2, 2, 2, 2, 4, 7, 7, 7)","[0.0667, 0.0, 0.2, 0.7333]",0.2527,0.275221
5,"(0, 1)","[2.3379, -2.2091]",0.3299,False,"(0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2)","[0.5455, 0.0, 0.0, 0.4545]",0.3442,0.724688
6,"(0, 2)","[0.7241, 2.9455]",0.4107,False,"(1, 1, 2)","[0.0, 0.0, 0.6667, 0.3333]",0.4437,0.419894
7,"(0, 3)","[0.8859, 2.9125]",0.3549,True,"(2, 2, 2, 2, 2, 4, 4, 4)","[0.2727, 0.0, 0.0, 0.7273]",0.3609,0.236138
8,"(1, 2)","[-1.2923, 2.6508]",0.1327,False,"(1, 2)","[0.0, 0.0, 0.5, 0.5]",0.1111,0.614161
9,"(1, 3)","[-1.3774, 2.6052]",0.1081,False,"(2, 2, 2, 2, 2, 2, 2, 4, 4, 4)","[0.2308, 0.0, 0.0, 0.7692]",0.1113,0.484529
10,"(2, 3)","[1.9652, 1.9138]",0.3224,False,"(1, 1, 1, 1, 2, 2, 2, 2, 7)","[0.0, 0.0, 0.5, 0.5]",0.3413,0.311961
11,"(0, 1, 2)","[1.0905, -1.4318, 2.0367]",0.2526,False,"(0, 1, 1, 1, 1, 2, 2, 2, 2)","[0.1111, 0.0, 0.4444, 0.4444]",0.251,0.675876
12,"(0, 1, 3)","[1.1195, -1.451, 1.9949]",0.1961,False,"(0, 1, 2, 2, 2, 2, 4)","[0.25, 0.0, 0.125, 0.625]",0.196,0.571013
13,"(0, 2, 3)","[0.5027, 1.8413, 1.8349]",0.3925,False,"(1, 1, 1, 1, 2, 2, 2, 2, 2, 7, 7)","[0.0, 0.0, 0.4615, 0.5385]",0.397,0.343112
14,"(1, 2, 3)","[-1.0975, 1.6183, 1.6264]",0.1471,False,"(1, 2)","[0.0, 0.0, 0.5, 0.5]",0.1111,0.509536
15,"(0, 1, 2, 3)","[0.7526, -1.1805, 1.3731, 1.4231]",0.2144,False,"(0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2)","[0.0909, 0.0, 0.4545, 0.4545]",0.2256,0.573178
